model, prompt_tokens, completion_tokens, reponse_status, date
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 467, 1, 200, 2024-06-13
gpt-35-turbo, 467, 1, 200, 2024-06-13
gpt-35-turbo, 467, 1, 200, 2024-06-13
gpt-35-turbo, 467, 1, 200, 2024-06-13
gpt-35-turbo, 434, 1, 200, 2024-06-13
gpt-35-turbo, 434, 1, 200, 2024-06-13
gpt-35-turbo, 434, 1, 200, 2024-06-13
gpt-35-turbo, 434, 1, 200, 2024-06-13
gpt-35-turbo, 436, 1, 200, 2024-06-13
gpt-35-turbo, 436, 1, 200, 2024-06-13
gpt-35-turbo, 436, 1, 200, 2024-06-13
gpt-35-turbo, 436, 1, 200, 2024-06-13
gpt-35-turbo, 467, 1, 200, 2024-06-13
